KEY,FREQ,ADJUSTMENT,REF_AREA,COUNTERPART_AREA,REF_SECTOR,COUNTERPART_SECTOR,ACCOUNTING_ENTRY,STO,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICES,TRANSFORMATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS,PRE_BREAK_VALUE,COMMENT_OBS,EMBARGO_DATE,TIME_FORMAT,COMMENT_TS,COMPILING_ORG,CURRENCY,DATA_COMP,DECIMALS,DISS_ORG,LAST_UPDATE,REF_PERIOD_DETAIL,REF_YEAR_PRICE,REPYEAREND,REPYEARSTART,TABLE_IDENTIFIER,TIME_PER_COLLECT,TITLE,TITLE_COMPL,UNIT_MULT,COMMENT_DSET
MNA.Q.Y.RO.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,Q,Y,RO,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR,LR,N,2000-Q3,26442.7794886634,A,F,,,,P3M,"Gross domestic product at market prices - Romania - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Non transformed data, Calendar and seasonally adjusted data",4D0,,,2,,,C,2015,,,,S,"Gross domestic product at market prices, volume",,6,
MNA.Q.Y.RO.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,Q,Y,RO,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR,LR,N,2000-Q4,26867.5154496414,A,F,,,,P3M,"Gross domestic product at market prices - Romania - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Non transformed data, Calendar and seasonally adjusted data",4D0,,,2,,,C,2015,,,,S,"Gross domestic product at market prices, volume",,6,
MNA.Q.Y.RO.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,Q,Y,RO,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR,LR,N,2001-Q1,28006.4692143935,A,F,,,,P3M,"Gross domestic product at market prices - Romania - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Non transformed data, Calendar and seasonally adjusted data",4D0,,,2,,,C,2015,,,,S,"Gross domestic product at market prices, volume",,6,
MNA.Q.Y.RO.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,Q,Y,RO,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR,LR,N,2001-Q2,27721.9684599963,A,F,,,,P3M,"Gross domestic product at market prices - Romania - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Non transformed data, Calendar and seasonally adjusted data",4D0,,,2,,,C,2015,,,,S,"Gross domestic product at market prices, volume",,6,
MNA.Q.Y.RO.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,Q,Y,RO,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR,LR,N,2001-Q3,28499.3696132939,A,F,,,,P3M,"Gross domestic product at market prices - Romania - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Non transformed data, Calendar and seasonally adjusted data",4D0,,,2,,,C,2015,,,,S,"Gross domestic product at market prices, volume",,6,
MNA.Q.Y.RO.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,Q,Y,RO,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR,LR,N,2001-Q4,29210.9625281607,A,F,,,,P3M,"Gross domestic product at market prices - Romania - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Non transformed data, Calendar and seasonally adjusted data",4D0,,,2,,,C,2015,,,,S,"Gross domestic product at market prices, volume",,6,
MNA.Q.Y.RO.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,Q,Y,RO,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR,LR,N,2002-Q1,29600.9135440134,A,F,,,,P3M,"Gross domestic product at market prices - Romania - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Non transformed data, Calendar and seasonally adjusted data",4D0,,,2,,,C,2015,,,,S,"Gross domestic product at market prices, volume",,6,
MNA.Q.Y.RO.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,Q,Y,RO,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR,LR,N,2002-Q2,30241.3037637187,A,F,,,,P3M,"Gross domestic product at market prices - Romania - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Non transformed data, Calendar and seasonally adjusted data",4D0,,,2,,,C,2015,,,,S,"Gross domestic product at market prices, volume",,6,
MNA.Q.Y.RO.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,Q,Y,RO,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR,LR,N,2002-Q3,29880.3505363454,A,F,,,,P3M,"Gross domestic product at market prices - Romania - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Non transformed data, Calendar and seasonally adjusted data",4D0,,,2,,,C,2015,,,,S,"Gross domestic product at market prices, volume",,6,
MNA.Q.Y.RO.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,Q,Y,RO,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR,LR,N,2002-Q4,30185.6230494182,A,F,,,,P3M,"Gross domestic product at market prices - Romania - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Non transformed data, Calendar and seasonally adjusted data",4D0,,,2,,,C,2015,,,,S,"Gross domestic product at market prices, volume",,6,
